,,Inquiry Manager,Project,1,FC
,,Opportunity Manager,Project,1,FC
,,Client Intelligence,Project,1,FC
,,Communication Manager,Project,1,FC
,,Value Analysis,Project,1,FC
,,Commission Management,Project,3,FC
,Marketing Training,,Solution,1.5,
,,"Campaign Management, News & Announcements",Project,1.5,FC
Add On CW One Modules - Setups + KT,,,Product,48,
,Customer Service Tool,,Solution,4,
,,Analysis - System & Controls,Project,1,BA
,,Web URL,Project,2,FC
,,Customization,Project,1,FC
,Transportation (1 Department),,Solution,12,
,,Analysis - Functional,Project,2,BA
,,Auto Rating (1 Vendor),Project,5,FC
,,Registry Setup,Project,1,FA
,,Zones,Project,2,FC
,,Operational Activities,Project,2,FC
,Liner & Agency (1 Department),,Solution,32,
,,Analysis - Functional,Project,3,BA
,,Container Movements,Project,2,FC
,,Container Detention,Project,2,FC
,,Sundry Charges,Project,1,FC
,,Sailing Schedules,Project,2,FC
,,Booking & Bill of Lading,Project,2,FC
,,Document Customization (upto 5),Project,0,FA
,,Registry Setup,Project,0,FA
,,UAT & Practice Sessions,Project,5,FC
,,Reports Training,Project,2,FC
,,Setup,Project,1,FA
,,Training,Project,5,FC
,,Accounts Payables,Project,2,FC
,,Cash Book,Project,1,FC
,,Job Costing,Project,1,FC
,,General Ledger,Project,3,FC
,,Chart of Accounts,Project,0,
,,AR Payment,Project,0,
,,Job Revenue Journals,Project,0,
,,Matching of Transactions,Project,0,
,,Receivable Claims and Queries,Project,0,
,,Collection Calls,Project,0,
,,Credit Control Documents Approval,Project,0,
,,Credit Note Approval,Project,0,
,,Periodic Invoice,Project,0,
,,Bulk Periodic Invoice,Project,0,
,,Invoice Approval,Project,0,
,,AP Invoice,Project,0,
,,AP Credit Note,Project,0,
,,AP Journal,Project,0,
,,AP Contra,Project,0,
,,AP Transfer,Project,0,
,,AP Payment,Project,0,
,,AP Adjustment Note,Project,0,
,,Intercompany Transations,Project,0,
,,Purchase Order,Project,0,
,,Overhead Cost Apportionment,Project,0,
,,Direct Receipts,Project,0,
,,Direct Payments,Project,0,
,,Bank Transfer entries,Project,0,
,,Currency revaluation(Exchange entry),Project,0,
,,Direct Debit Batches,Project,0,
,,Deposit Batches,Project,0,
,,Bank Reconcillation,Project,0,
,,Journals,Project,0,
,,Journal Awaiting Approval,Project,0,
,,Period Management,Project,0,
,,Job Management,Project,0,
,,WIP & Accruals,Project,0,
